src,dst
0,1
0,2
0,3
0,4
0,5
0,6
1,2
1,3
1,4
1,5
1,6
2,3
2,4
2,5
2,6
3,4
3,5
3,6
4,5
4,6
5,6
7,4
7,3
7,5
7,1
7,6
7,2
8,3
8,5
8,7
8,6
8,0
8,1
9,5
9,1
9,7
9,0
9,8
9,4
10,8
10,5
10,7
10,4
10,3
10,2
11,7
11,4
11,9
11,10
11,0
11,6
12,1
12,9
12,6
12,5
12,2
12,11
13,7
13,9
13,11
13,5
13,12
13,0
14,10
14,8
14,11
14,9
14,12
14,13
15,10
15,5
15,4
15,8
15,1
15,2
16,4
16,13
16,5
16,1
16,10
16,9
17,7
17,16
17,6
17,13
17,8
17,10
18,6
18,13
18,4
18,8
18,16
18,7
19,10
19,0
19,3
19,13
19,7
19,1
20,9
20,10
20,8
20,18
20,0
20,14
21,13
21,1
21,3
21,16
21,10
21,2
22,11
22,5
22,9
22,21
22,1
22,8
23,7
23,15
23,10
23,12
23,13
23,17
24,0
24,5
24,6
24,16
24,4
24,10
25,11
25,2
25,18
25,10
25,9
25,13
26,12
26,8
26,5
26,17
26,2
26,15
27,11
27,13
27,18
27,15
27,2
27,9
28,2
28,17
28,24
28,25
28,13
28,9
29,0
29,24
29,4
29,18
29,28
29,17
30,26
30,17
30,23
30,7
30,3
30,16
31,7
31,2
31,30
31,15
31,21
31,26
32,24
32,21
32,1
32,17
32,28
32,23
33,15
33,21
33,7
33,4
33,28
33,2
34,16
34,6
34,8
34,15
34,32
34,30
35,19
35,26
35,10
35,11
35,3
35,7
36,10
36,1
36,27
36,29
36,6
36,8
37,21
37,19
37,20
37,14
37,7
37,16
38,13
38,7
38,1
38,14
38,10
38,23
39,27
39,20
39,10
39,1
39,9
39,19
40,8
40,35
40,20
40,12
40,9
40,16
41,0
41,3
41,12
41,30
41,25
41,9
42,40
42,21
42,29
42,34
42,25
42,19
43,25
43,12
43,0
43,9
43,8
43,4
44,31
44,27
44,12
44,5
44,16
44,0
45,8
45,38
45,13
45,9
45,42
45,12
46,16
46,26
46,4
46,33
46,28
46,23
47,10
47,15
47,36
47,28
47,45
47,37
48,13
48,32
48,8
48,25
48,22
48,42
49,19
49,43
49,0
49,20
49,24
49,40
50,28
50,12
50,36
50,18
50,25
50,27
51,18
51,34
51,40
51,1
51,14
51,12
52,47
52,30
52,27
52,9
52,4
52,15
53,37
53,12
53,11
53,26
53,39
53,30
54,1
54,12
54,7
54,6
54,16
54,45
55,15
55,39
55,10
55,3
55,19
55,16
56,19
56,48
56,16
56,12
56,27
56,23
57,6
57,7
57,18
57,30
57,20
57,19
58,43
58,7
58,31
58,36
58,1
58,46
59,42
59,54
59,12
59,9
59,5
59,16
60,13
60,18
60,16
60,37
60,12
60,24
61,41
61,7
61,46
61,28
61,26
61,17
62,28
62,30
62,8
62,7
62,24
62,3
63,55
63,40
63,32
63,37
63,10
63,14
64,1
64,9
64,8
64,50
64,18
64,11
65,8
65,41
65,38
65,7
65,24
65,36
66,50
66,8
66,14
66,40
66,13
66,7
67,5
67,49
67,52
67,21
67,58
67,16
68,17
68,45
68,37
68,6
68,58
68,11
69,14
69,68
69,19
69,35
69,13
69,36
70,20
70,9
70,68
70,54
70,1
70,34
71,37
71,22
71,38
71,8
71,28
71,29
72,32
72,22
72,19
72,1
72,12
72,10
73,7
73,18
73,36
73,12
73,9
73,42
74,38
74,0
74,36
74,12
74,7
74,6
75,3
75,53
75,18
75,31
75,16
75,54
76,25
76,40
76,19
76,38
76,9
76,45
77,25
77,37
77,19
77,59
77,14
77,56
78,19
78,0
78,50
78,40
78,4
78,71
79,10
79,43
79,41
79,55
79,46
79,50
80,68
80,3
80,78
80,71
80,77
80,8
81,77
81,66
81,8
81,7
81,5
81,25
82,10
82,57
82,8
82,30
82,69
82,40
83,37
83,56
83,25
83,16
83,26
83,61
84,4
84,16
84,24
84,54
84,7
84,55
85,82
85,38
85,68
85,64
85,7
85,16
86,25
86,26
86,53
86,77
86,43
86,36
87,12
87,30
87,31
87,43
87,19
87,86
88,20
88,54
88,12
88,58
88,8
88,41
89,55
89,16
89,38
89,15
89,0
89,12
90,21
90,32
90,65
90,53
90,30
90,54
91,8
91,71
91,0
91,11
91,13
91,26
92,0
92,8
92,1
92,68
92,60
92,3
93,77
93,6
93,23
93,70
93,62
93,10
94,28
94,43
94,80
94,18
94,42
94,57
95,42
95,58
95,23
95,16
95,14
95,8
96,31
96,16
96,90
96,8
96,59
96,36
97,66
97,58
97,30
97,19
97,37
97,88
98,52
98,54
98,27
98,8
98,35
98,59
99,11
99,96
99,0
99,66
99,7
99,97
100,29
100,96
100,2
100,94
100,19
100,16
101,9
101,26
101,33
101,95
101,65
101,29
102,10
102,30
102,19
102,12
102,60
102,3
103,20
103,58
103,1
103,40
103,88
103,25
104,63
104,70
104,16
104,33
104,12
104,6
105,45
105,27
105,38
105,6
105,18
105,1
106,32
106,10
106,27
106,40
106,9
106,76
107,2
107,30
107,68
107,40
107,41
107,58
108,53
108,15
108,14
108,26
108,41
108,8
109,57
109,70
109,7
109,16
109,12
109,19
110,54
110,103
110,22
110,42
110,10
110,99
111,13
111,24
111,8
111,16
111,10
111,7
112,61
112,69
112,19
112,77
112,101
112,99
113,15
113,16
113,6
113,47
113,5
113,63
114,53
114,30
114,23
114,42
114,75
114,2
115,30
115,17
115,34
115,59
115,62
115,85
116,14
116,40
116,115
116,30
116,7
116,13
117,11
117,19
117,43
117,71
117,64
117,27
118,48
118,117
118,86
118,19
118,9
118,21
119,10
119,19
119,1
119,0
119,29
119,48
120,19
120,30
120,0
120,91
120,71
120,13
121,14
121,106
121,17
121,102
121,31
121,117
122,58
122,54
122,8
122,47
122,11
122,50
123,62
123,12
123,6
123,118
123,95
123,7
124,13
124,28
124,86
124,99
124,106
124,110
125,35
125,65
125,66
125,103
125,26
125,2
126,2
126,30
126,117
126,33
126,22
126,7
127,117
127,19
127,82
127,8
127,0
127,30
128,7
128,19
128,33
128,54
128,1
128,15
129,8
129,116
129,7
129,74
129,31
129,10
130,106
130,10
130,120
130,13
130,28
130,123
131,30
131,24
131,1
131,41
131,10
131,85
132,74
132,81
132,55
132,80
132,13
132,43
133,77
133,7
133,9
133,108
133,34
133,37
134,19
134,117
134,31
134,35
134,83
134,16
135,50
135,28
135,58
135,51
135,61
135,99
136,16
136,12
136,90
136,54
136,0
136,19
137,69
137,53
137,25
137,13
137,91
137,58
138,24
138,58
138,127
138,10
138,125
138,0
139,1
139,17
139,34
139,71
139,77
139,47
140,58
140,53
140,35
140,14
140,7
140,18
141,6
141,28
141,19
141,55
141,42
141,15
142,2
142,102
142,9
142,30
142,11
142,114
143,18
143,106
143,25
143,6
143,27
143,80
144,87
144,47
144,113
144,7
144,14
144,52
145,18
145,20
145,0
145,114
145,47
145,10
146,63
146,36
146,95
146,55
146,32
146,59
147,117
147,68
147,47
147,128
147,133
147,21
148,4
148,17
148,30
148,21
148,14
148,1
149,1
149,24
